level,rule,order_count,revenue
1,Day_of_Week=Fri,660.0,287116.0
1,Service=Wash_&_Fold_(Kg_Basis),670.0,205602.0
1,Day_of_Week=Mon,573.0,207595.0
1,Day_of_Week=Sat,356.0,141360.0
1,Day_of_Week=Sun,532.0,192824.0
1,Day_of_Week=Thu,1005.0,369203.0
1,Day_of_Week=Tue,765.0,281482.0
1,Service=Dry_Cleaning,694.0,465071.0
1,Does_delivery_charge_exist=N,1127.0,399853.0
1,Payment_Mode=Online,3664.0,1371909.0
1,Does_delivery_charge_exist=Y,2766.0,1080222.0
1,Payment_Mode=Cash_to_store,177.0,87998.0
1,Service=Premium_Laundry,267.0,124254.0
1,Total_Garment_bucket=bucket_1,823.0,233926.0
1,Total_Garment_bucket=bucket_2,764.0,272261.0
1,Total_Garment_bucket=bucket_3,877.0,298437.0
1,Total_Garment_bucket=bucket_5,664.0,392386.0
1,Service=Steam_Ironing,1349.0,317402.0
1,Service=Wash_&_Iron_(Kg_Basis),795.0,345096.0
1,amount_bd_bin=bucket_2,914.0,299181.0
1,Does_pickup_charge_exist=N,1130.0,400737.0
1,amount_bd_bin=bucket_4,353.0,295232.0
1,amount_bd_bin=bucket_3,584.0,297411.0
1,amount_bd_bin=bucket_5,167.0,292881.0
1,Total_Garment_bucket=bucket_4,765.0,283065.0
1,amount_bd_bin=bucket_1,1875.0,295370.0
1,Store_Name=AECS,78.0,38240.0
1,Does_pickup_charge_exist=Y,2763.0,1079338.0
1,Store_Name=BANASWADI,261.0,89511.0
1,Store_Name=DOMLUR,2395.0,891084.0
1,Store_Name=HSR,844.0,335254.0
1,Store_Name=SARJAPUR,315.0,125986.0
1,Service=Wash_&_Iron,118.0,22650.0
2,Day_of_Week=Fri and Service=Wash_&_Fold_(Kg_Basis),127.0,41796.0
2,Day_of_Week=Fri and Service=Dry_Cleaning,153.0,105457.0
2,Day_of_Week=Fri and Does_delivery_charge_exist=N,209.0,81657.0
2,Day_of_Week=Fri and Payment_Mode=Online,622.0,268729.0
2,Day_of_Week=Fri and Does_delivery_charge_exist=Y,451.0,205459.0
2,Day_of_Week=Fri and Payment_Mode=Cash_to_store,34.0,16229.0
2,Day_of_Week=Fri and Service=Premium_Laundry,66.0,30974.0
2,Day_of_Week=Fri and Total_Garment_bucket=bucket_1,166.0,49445.0
2,Day_of_Week=Fri and Total_Garment_bucket=bucket_2,155.0,69507.0
2,Day_of_Week=Fri and Total_Garment_bucket=bucket_3,131.0,55394.0
2,Day_of_Week=Fri and Total_Garment_bucket=bucket_5,113.0,70356.0
2,Day_of_Week=Fri and Service=Steam_Ironing,135.0,32829.0
2,Day_of_Week=Fri and Service=Wash_&_Iron_(Kg_Basis),156.0,72504.0
2,Day_of_Week=Fri and amount_bd_bin=bucket_2,147.0,48780.0
2,Day_of_Week=Fri and Does_pickup_charge_exist=N,209.0,81657.0
2,Day_of_Week=Fri and amount_bd_bin=bucket_4,74.0,61666.0
2,Day_of_Week=Fri and amount_bd_bin=bucket_3,131.0,66577.0
2,Day_of_Week=Fri and amount_bd_bin=bucket_5,43.0,68450.0
2,Day_of_Week=Fri and Total_Garment_bucket=bucket_4,95.0,42414.0
2,Day_of_Week=Fri and amount_bd_bin=bucket_1,265.0,41643.0
2,Day_of_Week=Fri and Store_Name=AECS,16.0,6990.0
2,Day_of_Week=Fri and Does_pickup_charge_exist=Y,451.0,205459.0
2,Day_of_Week=Fri and Store_Name=BANASWADI,59.0,18418.0
2,Day_of_Week=Fri and Store_Name=DOMLUR,371.0,164663.0
2,Day_of_Week=Fri and Store_Name=HSR,155.0,69206.0
2,Day_of_Week=Fri and Store_Name=SARJAPUR,59.0,27839.0
2,Day_of_Week=Fri and Service=Wash_&_Iron,23.0,3556.0
2,Day_of_Week=Mon and Service=Wash_&_Fold_(Kg_Basis),108.0,33648.0
2,Day_of_Week=Mon and Service=Dry_Cleaning,88.0,55814.0
2,Day_of_Week=Mon and Does_delivery_charge_exist=N,147.0,47755.0
2,Day_of_Week=Mon and Payment_Mode=Online,534.0,190390.0
2,Day_of_Week=Mon and Does_delivery_charge_exist=Y,426.0,159840.0
2,Day_of_Week=Mon and Payment_Mode=Cash_to_store,38.0,16905.0
2,Day_of_Week=Mon and Service=Premium_Laundry,39.0,16800.0
2,Day_of_Week=Mon and Total_Garment_bucket=bucket_1,118.0,35299.0
2,Day_of_Week=Mon and Total_Garment_bucket=bucket_2,98.0,36980.0
2,Day_of_Week=Mon and Total_Garment_bucket=bucket_3,121.0,35293.0
2,Day_of_Week=Mon and Total_Garment_bucket=bucket_5,121.0,66635.0
2,Day_of_Week=Mon and Service=Steam_Ironing,219.0,53731.0
2,Day_of_Week=Mon and Service=Wash_&_Iron_(Kg_Basis),108.0,44100.0
2,Day_of_Week=Mon and amount_bd_bin=bucket_2,137.0,45325.0
2,Day_of_Week=Mon and Does_pickup_charge_exist=N,150.0,48207.0
2,Day_of_Week=Mon and amount_bd_bin=bucket_4,56.0,46147.0
2,Day_of_Week=Mon and amount_bd_bin=bucket_3,81.0,41775.0
2,Day_of_Week=Mon and amount_bd_bin=bucket_5,16.0,27995.0
2,Day_of_Week=Mon and Total_Garment_bucket=bucket_4,115.0,33388.0
2,Day_of_Week=Mon and amount_bd_bin=bucket_1,283.0,46353.0
2,Day_of_Week=Mon and Store_Name=AECS,12.0,6052.0
2,Day_of_Week=Mon and Does_pickup_charge_exist=Y,423.0,159388.0
2,Day_of_Week=Mon and Store_Name=BANASWADI,36.0,15158.0
2,Day_of_Week=Mon and Store_Name=DOMLUR,350.0,125643.0
2,Day_of_Week=Mon and Store_Name=HSR,128.0,42157.0
2,Day_of_Week=Mon and Store_Name=SARJAPUR,47.0,18585.0
2,Day_of_Week=Mon and Service=Wash_&_Iron,11.0,3502.0
